MX-AGU,Aguascalientes,SI,07 de junio ,Híbrido,Me sumo a un regreso seguro,SI,SI,SI,84,http://www.iea.gob.mx/INTERNAS/comunicacion/2020/Boletin_959_2021.pdf http://www.iea.gob.mx/INTERNAS/comunicacion/2020/Boletin_959_2021.pdf                                                        https://www.elsoldelcentro.com.mx/local/ya-hay-estrategia-para-regresar-a-clases-en-aguascalientes-6494515.html http://www.iea.gob.mx/INTERNAS/comunicacion/2020/Boletin_965_2021.pdf http://www.iea.gob.mx/INTERNAS/regreso/pdfs/GUIASEP_REGRESOCLASES.pdf https://regresoseguro.iea.edu.mx/ https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/aguascalientes/
MX-BCN,Baja California Norte,SI,30 de agosto,Híbrido,Regreso Seguro a Clases Presenciales ,SI,SI,SI,SP,"https://www.sandiegouniontribune.com/en-espanol/noticias/bc/articulo/2021-07-26/baja-california-anuncia-regreso-a-clases-presenciales-semaforo-epidemiologico-regional-permanece-verde http://www.educacionbc.edu.mx/regresoseguro/ https://www.jornada.com.mx/notas/2021/07/26/estados/planean-regreso-a-clases-gradual-en-baja-california-a-partir-de-agosto/#:~:text=El%20gobierno%20de%20Baja%20California,forma%20gradual%2C%20escalonada%20y%20segura."
MX-BCS,Baja California Sur,NO,Por definir,A distancia,Sin información,SI,SI,SI,78.8,"https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/baja-california-sur/        https://www.bcsnoticias.mx/confirmado-baja-california-sur-ya-se-prepara-para-regreso-a-las-aulas-en-agosto-sep/       https://www.elsudcaliforniano.com.mx/local/regreso-a-clases-solo-sera-en-alerta-verde-en-bcs-6987936.html                            http://www.bcs.gob.mx/noticias/concluyo-vacunacion-del-personal-educativo-en-bcs/#:~:text=CONCLUY%C3%93%20VACUNACI%C3%93N%20DEL%20PERSONAL%20EDUCATIVO%20EN%20BCS,-La%20Paz%20B.C.S.&text=Con%20la%20aplicaci%C3%B3n%20de%2017,educativo%20de%20Baja%20California%20Sur."
MX-CAM,Campeche,Por Definir,Por definir,A distancia,ApreSin informaciónamos en familia desde la casa,SI,SI,SI,SP,https://www.poresto.net/campeche/2021/7/15/regreso-clases-en-campeche-sera-en-semaforo-verde-seduc-263676.html                                         http://campechehoy.mx/2021/07/31/en-campeche-sera-dificil-el-regreso-a-clases-presenciales/                                                                                                https://educacioncampeche.gob.mx/aprendamosencasa https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/campeche/
MX-COA,Coahuila de Zaragoza,SI,23 de agosto,Híbrido,Sin información,SI,SI,SI,SP,https://www.elheraldodesaltillo.mx/2021/07/27/habra-periodo-de-diagnostico-y-otro-de-recuperacion-al-regreso-a-clases-en-coahuila/                                               https://www.elheraldodesaltillo.mx/2021/07/05/volverian-el-23-de-agosto-a-clases-presenciales-90-escuelas-en-coahuila/                                                     https://vanguardia.com.mx/articulo/regreso-clases-sera-obligatorio-para-los-profesores-en-coahuila                                                          https://www.saludcoahuila.gob.mx/COVID19/documentos/MANUAL%20REAPERTURA%20ESCOLAR%202021.pdf
MX-COL,Colima,Por Definir,Por definir,A distancia, Estrategia Estatal de Regreso Seguro a Clases Presenciales,SI,SI,SI,SP,https://www.milenio.com/estados/colima-pone-a-prueba-el-regreso-a-clases                                                                                https://www.colimanoticias.com/antes-del-regreso-a-clases-preservar-la-salud-y-vida-del-alumnado-y-docentes-se/                                                             https://diariodecolima.com/noticias/detalle/2021-07-23-flores-colima-est-preparado-para-iniciar-el-ciclo-escolar                      https://elcomentario.ucol.mx/elabora-colima-su-estrategia-para-regreso-a-clases-presenciales/
MX-CHP,Chiapas,SI,30 de agosto,Híbrido,Sin información,SI,SI,SI,100,https://www.unomasuno.com.mx/regreso-a-clases-en-chiapas-el-proximo-ciclo-escolar/   https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/chiapas/ https://planeacion.sep.gob.mx/entidadfederativa.aspxhttps://www.eluniversal.com.mx/estados/regreso-clases-presenciales-en-chiapas-sera-el-proximo-30-de-agosto-anuncian-autoridades
MX-CHH,Chihuahua,SI,30 de agosto,Híbrido,Sin información,NO,SI,SI,95,https://e-oaxaca.com/nota/2021-08-03/nacion/sera-obligatorio-regreso-clases-presenciales-el-30-de-agosto-gobernador-de https://www.elfinanciero.com.mx/nacional/2021/06/01/cuantos-maestros-y-maestras-han-sido-vacunados-contra-covid-en-mexico-esto-dice-la-sep/ https://nortedigital.mx/oficial-regresa-chihuahua-a-las-aulas-el-30-de-agosto/ https://notigram.com/chihuahua/es-obligatorio-el-regreso-a-clases-gobernador-de-chihuahua-20210803-571139 https://heraldodemexico.com.mx/nacional/2021/8/3/javier-corral-anuncia-regreso-clases-presenciales-el-30-de-agosto-en-chihuahua-322320.html https://www.omnia.com.mx/noticia/185917 http://www.chihuahua.gob.mx/contenidos/podemos-pensar-en-regreso-clases-presenciales-el-proximo-ciclo-javier-corral
MX-CMX,Ciudad de México,SI,30 de agosto,Híbrido,Sin información,SI,SI,SI,100,https://politica.expansion.mx/cdmx/2021/08/01/el-gobierno-cdmx-se-mantiene-en-su-decision-en-agosto-habra-regreso-a-clases https://www.eluniversal.com.mx/nacion/ipn-en-proximo-ciclo-escolar-no-habra-regreso-clases-presenciales    https://www.ejecentral.com.mx/en-cdmx-continua-plan-del-regreso-a-clases-presencial/    https://wradio.com.mx/programa/2021/08/03/asi_las_cosas/1628003040_998317.html    https://www.marca.com/claro-mx/trending/2021/07/29/6103211646163fd7978b4590.html    https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/#%c2%bfqu%c3%a9+estados+regresan+a+clases+presenciales+en+2021%3f   https://planeacion.sep.gob.mx/entidadfederativa.aspx   https://mexico.as.com/mexico/2021/07/30/actualidad/1627609664_758632.html https://politica.expansion.mx/mexico/2021/07/29/cuando-es-el-regreso-clases-presenciales-universidades-cdmx    https://www.capital21.cdmx.gob.mx/noticias/?p=19324
MX-DUR,Durango,Por Definir,Por definir,A distancia,Sin información,Por definir,NO,SI,100,https://www.publimetro.com.mx/mx/nuevo-leon/2021/08/02/jovenes-retoman-sus-actividades-academicas-en-nuevo-leon.html     https://www.youtube.com/watch?v=yqr1QurjGxA&t=2233s https://www.elfinanciero.com.mx/nacional/2021/06/01/cuantos-maestros-y-maestras-han-sido-vacunados-contra-covid-en-mexico-esto-dice-la-sep/ https://www.infobae.com/america/mexico/2021/08/04/ayudenme-a-decidir-la-insolita-encuesta-de-el-bronco-sobre-el-regreso-a-clases-en-nuevo-leon/ https://www.eleconomista.com.mx/estados/En-agosto-se-definira-si-hay-regreso-a-clases-en-Nuevo-Leon-Jaime-Rodriguez-20210712-0090.html https://www.nl.gob.mx/publicaciones/calendario-escolar-para-el-ciclo-2021-2022 https://twitter.com/SenlOficial/status/1405643117492158465/photo/2 https://twitter.com/SenlOficial/status/1405643117492158465/photo/1
MX-GUA,Guanajuato,SI,30 de agosto 2021,Híbrido,Guanajuato educado con R de Reactivación. Regreso a las aulas,SI,SI,SI,85.5,https://www.seg.guanajuato.gob.mx/RegresoalasAulas/SitePages/Inicio.aspx https://www.seg.guanajuato.gob.mx/RegresoalasAulas/SitePages/Inicio.aspx https://notus.com.mx/regreso-a-clases-presenciales-en-guanajuato-30-agosto-2021/ https://www.milenio.com/politica/comunidad/guanajuato-regreso-clases-presenciales-ajustara-municipio https://www.seg.guanajuato.gob.mx/RegresoalasAulas/SitePages/EducacionVacunada.aspx https://zonafranca.mx/politica-sociedad/educacion/en-guanajuato-sera-voluntario-el-regreso-a-clases/ https://www.unionguanajuato.mx/2021/08/02/regreso-a-clases-presenciales-en-agosto-calendario-escolar-2021-a-2022-de-la-sep/
